ISIN,RANK,POWERRATING
INF769K01AZ7,17,ON_TRACK
INF760K01274,5,IN_FORM
INF192K01JN9,18,ON_TRACK
INF205K01KY4,5,IN_FORM
INF680P01109,33,OUT_OF_FORM
INF966L01598,20,OFF_TRACK
INF109KC18I2,2,IN_FORM
INF194K01Z69,9,ON_TRACK
INF754K01LS1,,IN_FORM
INF966L01267,4,IN_FORM
INF174K01310,1,IN_FORM
INF666M01CO1,21,OFF_TRACK
INF204K01AP6,3,IN_FORM
INF336L01RA0,5,IN_FORM
INF109KC1YA0,4,IN_FORM
INF917K01IL5,28,OUT_OF_FORM
INF740KA1MO3,2,IN_FORM
INF194KB1GJ5,4,IN_FORM
INF209KB12G9,12,ON_TRACK
INF0J8L01032,20,OFF_TRACK
INF179KC1GF1,5,ON_TRACK
INF760K01FQ4,12,ON_TRACK
INF397L01JX1,25,OUT_OF_FORM
INF00XX01135,16,OFF_TRACK
INF00XX01697,27,OUT_OF_FORM
INF204K01GL2,14,ON_TRACK
INF247L01544,9,IN_FORM
INF761K01FV2,4,IN_FORM
INF336L01AF5,22,ON_TRACK
INF247L01197,23,OUT_OF_FORM
INF846K010V0,31,ON_TRACK
INF760K01EX3,17,OFF_TRACK
INF740KA1WC7,,IN_FORM
INF00XX01BR2,10,OFF_TRACK
INF192K01BZ0,18,ON_TRACK
INF209K01090,26,OFF_TRACK
INF336L01DH5,22,ON_TRACK
INF173K01270,5,IN_FORM
INF174KA1HT7,1,IN_FORM
INF200K01T51,23,OUT_OF_FORM
INF173K01NE0,22,ON_TRACK
INF789F01976,27,OUT_OF_FORM
INF917K01LE4,16,OFF_TRACK
INF761K01686,4,IN_FORM
INF174KA1UD4,,IN_FORM
INF200K01370,11,ON_TRACK
INF767K01PO3,19,ON_TRACK
INF209K01EP7,16,OFF_TRACK
INF740KA1LF3,6,ON_TRACK
INF174V01937,16,OFF_TRACK
INF582M01DE9,24,OUT_OF_FORM
INF769K01OC7,,IN_FORM
INF173K01EZ4,,IN_FORM
INF680P01190,26,OUT_OF_FORM
INF109KB10X0,26,ON_TRACK
INF846K013D2,5,IN_FORM
INF192K01GJ3,23,ON_TRACK
INF582M01FU0,22,OUT_OF_FORM
INF959L01GE4,1,IN_FORM
INF955L01HH3,3,IN_FORM
INF769K01JK0,7,IN_FORM
INF084M01DL1,6,IN_FORM
INF174KA1TN5,,ON_TRACK
INF204K01XM5,7,ON_TRACK
INF223J013N7,20,ON_TRACK
INF903J01DV7,17,OFF_TRACK
INF174KA1HV3,1,IN_FORM
INF582M01GA0,20,OUT_OF_FORM
INF666M01626,21,OFF_TRACK
INF174V01721,13,ON_TRACK
INF846K017W3,5,IN_FORM
INF109K01IW6,2,IN_FORM
INF397L01KU5,20,OUT_OF_FORM
INF179KC1GS4,10,ON_TRACK
INF846K01EF7,18,OFF_TRACK
INF843K01KK1,4,IN_FORM
INF179K01XQ0,1,IN_FORM
INF740K01318,13,ON_TRACK
INF666M01HZ6,4,IN_FORM
INF740K01532,13,ON_TRACK
INF761K01223,4,IN_FORM
INF200K01TN9,19,OFF_TRACK
INF903JA1LC6,8,IN_FORM
INF846K01DY0,15,OFF_TRACK
INF200K01115,11,ON_TRACK
INF0QA701BB7,38,ON_TRACK
INF251K01PT7,8,ON_TRACK
INF174K01LQ6,20,ON_TRACK
INF204K01E96,11,ON_TRACK
INF204KB12W7,10,ON_TRACK
INF204KC1576,4,IN_FORM
INF044D01BX3,28,OUT_OF_FORM
INF277KA1646,,ON_TRACK
INF761K01FH1,12,ON_TRACK
INF917K01254,10,ON_TRACK
INF204KC1DE0,,IN_FORM
